Date,EURUSD=X,GOOG,MC.PA,MSFT,SAN.MC,TEF.MC,TSLA,bund_10y,spain_10y,us_30y
2025-10-10,1.156644344329834,237.16807556152344,532.6422119140625,507.74432373046875,8.310513496398926,4.2029924392700195,413.489990234375,771.0587113661761,730.2230392084505,256.93020192382687
2025-10-13,1.160240888595581,244.30838012695312,527.17919921875,510.81488037109375,8.409029960632324,4.159850597381592,435.8999938964844,771.3517680087122,731.3561998691305,256.6357148292161
2025-10-14,1.1566845178604126,245.85629272460938,519.76513671875,510.3379211425781,8.312463760375977,4.208744525909424,429.239990234375,773.0825446159148,734.4823777263002,257.667948339402
2025-10-15,1.1602274179458618,251.36880493164062,583.2724609375,510.19879150390625,8.274422645568848,4.2950286865234375,435.1499938964844,776.7916881788831,737.408641167125,256.562147567805
2025-10-16,1.1646324396133423,251.53857421875,587.46728515625,508.3902587890625,8.368062973022461,4.272019863128662,428.75,775.9287604904953,737.9811133731743,260.7156690703906
2025-10-17,1.1699601411819458,253.4459686279297,590.881591796875,510.3478698730469,8.087143898010254,4.31132698059082,439.30999755859375,775.2482466279351,736.4794154084034,259.2243495908409
2025-10-20,1.165745735168457,256.6716003417969,597.125,513.5376586914062,8.232479095458984,4.3918585777282715,447.42999267578125,774.8327002529121,736.1223639163459,261.0149953001217
2025-10-21,1.164442539215088,250.99929809570312,601.7100219726562,514.4021606445312,8.159322738647461,4.387065410614014,442.6000061035156,777.3372390192558,738.1243077987493,263.3468477291685
2025-10-22,1.160038948059082,252.18768310546875,607.9534912109375,517.2640380859375,8.182733535766602,4.432124614715576,438.9700012207031,776.7008039922563,737.408641167125,264.02786133780415
2025-10-23,1.1608469486236572,253.3860626220703,605.6121826171875,517.2838745117188,8.187610626220703,4.381313323974609,448.9800109863281,775.2860357253711,735.6941534474715,261.6147135651695
2025-10-24,1.1618045568466187,260.1568603515625,597.5152587890625,520.3146362304688,8.165176391601562,4.367891311645508,433.7200012207031,771.7953430133161,732.562302882723,260.4914071865958
2025-10-27,1.1631693840026855,269.5640869140625,596.5397338867188,528.1749877929688,8.30173397064209,4.380353927612305,452.4200134277344,772.3596146410508,733.9840495430378,261.7648654915474
2025-10-28,1.165175199508667,268.0661315917969,599.5639038085938,538.6585083007812,8.395374298095703,4.377478122711182,460.54998779296875,772.0209972295911,733.5572071045976,263.4224261892433
2025-10-29,1.1657865047454834,274.7969970703125,603.6611328125,538.1417846679688,8.759202003479004,4.313244342803955,461.510009765625,772.2166229216406,734.6960608661934,259.52190670758074
2025-10-30,1.1603351831436157,281.5178527832031,595.1740112304688,522.4512329101562,8.645574569702148,4.283524036407471,440.1000061035156,770.7958160887351,733.3438882848643,255.90102203627973
2025-10-31,1.157246708869934,281.43798828125,597.125,514.5512084960938,8.720667839050293,4.205868721008301,456.55999755859375,770.8408768471879,733.9840495430378,254.36523291740525
2025-11-03,1.1528042554855347,283.73486328125,601.7100219726562,513.776123046875,8.741416931152344,4.114790916442871,468.3699951171875,768.9208575887073,732.2073397382393,252.83896616030762
2025-11-04,1.1519144773483276,277.6830749511719,596.2470703125,511.0931701660156,8.700905799865723,3.5750362873077393,444.260009765625,769.722725011396,732.8464096876332,254.21946487960378
2025-11-05,1.1485539674758911,284.364013671875,597.8079223632812,503.96826171875,8.771059036254883,3.4762890338897705,462.07000732421875,768.1872431086225,731.0018795152222,249.52869262032164
2025-11-06,1.1496764421463013,284.9532165527344,585.3211059570312,493.9715576171875,8.836271286010742,3.491628408432007,445.9100036621094,769.2879537977062,732.2073397382393,253.05642358053785
2025-11-07,1.1549211740493774,279.32086181640625,588.4428100585938,493.6933288574219,8.743392944335938,3.504091501235962,429.5199890136719,768.5389824995304,731.0727284773461,252.04327293035976
2025-11-10,1.1543878316879272,290.19610595703125,602.783203125,502.8155517578125,9.06451416015625,3.4446513652801514,445.2300109863281,768.6737381160092,731.5688827580278,251.97106560738496
